"pe_num","cluster","unemp4","unemp5"
15,"Seoul",2.46948465758992,2.79103637472059
15,"Gyeonggi-do",1.96691804927099,3.26626445449975
15,"Incheon",2.46224925024992,3.71869043652116
15,"Daejeon",3.25485413437434,3.30282234915896
15,"Chungcheongbuk-do",1.6149987332151,2.03374714973398
15,"Chungcheongnam-do",1.46088093059731,1.73474590368461
15,"Gwangju",3.11996311951381,3.4221201878801
15,"Jeollabuk-do",2.50873123295088,2.79495241863274
15,"Jeollanam-do",1.30763740879115,1.69537593089441
15,"Daegu",3.47477598857921,4.11920271460619
15,"Gyeongsangbuk-do",1.19249201277955,1.88932259110061
15,"Busan",3.84041259947428,4.31999679645616
15,"Ulsan",1.50638275615067,1.94761260558436
15,"Gyeongsangnam-do",1.50638275615067,1.94761260558436
15,"Gangwon-do",0.892365678402734,0.920172099006204
15,"Jeju-do",1.14099859871672,1.36096642451508
16,"Seoul",4.775,4.325
16,"Gyeonggi-do",3.575,2.825
16,"Incheon",4.7,4
16,"Daejeon",4.5,3.825
16,"Chungcheongbuk-do",3.425,2.525
16,"Chungcheongnam-do",2.95,2.675
16,"Gwangju",5.075,3.875
16,"Jeollabuk-do",3.2,2.5
16,"Jeollanam-do",3.05,2.25
16,"Daegu",4.85,4.225
16,"Gyeongsangbuk-do",2.7,2.2
16,"Busan",5.675,3.925
16,"Ulsan",3.425,2.5
16,"Gyeongsangnam-do",3.3,2.475
16,"Gangwon-do",2.35,1.825
16,"Jeju-do",2.5,2.2
17,"Seoul",4.575,4.075
17,"Gyeonggi-do",3.5,3.3
17,"Incheon",4.375,4.05
17,"Daejeon",4.5,4.1
17,"Chungcheongbuk-do",2.225,2.275
17,"Chungcheongnam-do",2.5,2.375
17,"Gwangju",4.225,4
17,"Jeollabuk-do",2.625,2.375
17,"Jeollanam-do",1.725,1.775
17,"Daegu",3.75,3.575
17,"Gyeongsangbuk-do",2.375,2.075
17,"Busan",4.225,4
17,"Ulsan",2.825,2.5
17,"Gyeongsangnam-do",2.325,2.425
17,"Gangwon-do",1.325,1.875
17,"Jeju-do",2.075,2.1
18,"Seoul",4.525,4.2
18,"Gyeonggi-do",3.425,3.275
18,"Incheon",4.775,4.525
18,"Daejeon",3.65,3.7
18,"Chungcheongbuk-do",2.425,2.025
18,"Chungcheongnam-do",2.4,2.35
18,"Gwangju",3.075,2.675
18,"Jeollabuk-do",2.35,2.025
18,"Jeollanam-do",2.025,1.6
18,"Daegu",3.725,3.3
18,"Gyeongsangbuk-do",2.55,2.55
18,"Busan",3.65,3.9
18,"Ulsan",2.7,2.575
18,"Gyeongsangnam-do",2.175,1.85
18,"Gangwon-do",2.25,2.5
18,"Jeju-do",1.675,1.55
19,"Seoul",4.225,4.225
19,"Gyeonggi-do",3.925,3.9
19,"Incheon",5.05,4.875
19,"Daejeon",3.375,3.225
19,"Chungcheongbuk-do",2.625,2.625
19,"Chungcheongnam-do",3.475,3.175
19,"Gwangju",2.9,3.075
19,"Jeollabuk-do",1.7,2.075
19,"Jeollanam-do",2.55,3.025
19,"Daegu",3.5,4.15
19,"Gyeongsangbuk-do",3.075,3.175
19,"Busan",4.05,3.9
19,"Ulsan",2.875,3.8
19,"Gyeongsangnam-do",2.65,3.325
19,"Gangwon-do",3.225,2.85
19,"Jeju-do",1.85,2.15
20,"Seoul",4.55,4.825
20,"Gyeonggi-do",3.975,3.675
20,"Incheon",4.575,4.025
20,"Daejeon",4.375,3.3
20,"Chungcheongbuk-do",3.175,2.475
20,"Chungcheongnam-do",3.37154111807106,2.27118646091111
20,"Gwangju",3.875,3.6
20,"Jeollabuk-do",2.475,2.2
20,"Jeollanam-do",2.35,2.375
20,"Daegu",3.875,3.725
20,"Gyeongsangbuk-do",4.05,3.225
20,"Busan",4.175,3.35
20,"Ulsan",4.25,3.55
20,"Gyeongsangnam-do",4,4.075
20,"Gangwon-do",3.95,3.675
20,"Jeju-do",2.475,3.125
21,"Seoul",2.75,3.05
21,"Gyeonggi-do",2.6,2.6
21,"Incheon",3.175,3.25
21,"Daejeon",2.8,3.025
21,"Chungcheongbuk-do",2.3,2.25
21,"Chungcheongnam-do",2.51884545810673,2.78443015621368
21,"Gwangju",2.575,3.05
21,"Jeollabuk-do",2.5,2.525
21,"Jeollanam-do",2.225,2.725
21,"Daegu",3.075,3.425
21,"Gyeongsangbuk-do",2.6,2.55
21,"Busan",3.125,2.975
21,"Ulsan",3.45,3.7
21,"Gyeongsangnam-do",2.5,2.275
21,"Gangwon-do",2.8,2.8
21,"Jeju-do",1.9,2.35
